ysym,code,name,date,close,K,D,k_d_spread,vol_ratio,ma20,trend_strength,cross_day,market_cap,rank_k,rank_v,a,b,score,streak_days
2208.TW,2208,台船,2025-09-05,24.850000381469727,93.3068470806809,76.53431209548863,16.772534985192266,7.765659834163916,18.567499923706055,0.3383600637446342,2025-09-04,31672320000.0,14.0,4.0,1.72,1.92,1.11740027451028,1
6753.TW,6753,龍德造船,2025-09-05,180.5,86.1930010604454,76.01233258709401,10.180668473351389,7.356686940378369,133.425,0.3528199362937979,2025-09-04,20421408768.0,28.0,5.0,1.44,1.9,0.9653153456998309,1
2231.TW,2231,為升,2025-09-05,131.0,95.28301886792455,90.39194497138318,4.891073896541371,5.0358089588259825,94.525,0.3858767521819624,2025-09-03,17805258752.0,39.0,9.0,1.22,1.82,0.8568007405448294,1
5314.TWO,5314,世紀*,2025-09-05,107.0,100.0,81.74384184195175,18.25615815804825,3.221483284754278,83.01500129699707,0.2889236683523433,2025-09-03,31243999232.0,11.0,18.0,1.78,1.6400000000000001,0.8434259726541606,1
3704.TW,3704,合勤控,2025-09-05,36.900001525878906,89.48927739284743,70.59097985718961,18.898297535657818,4.7215913778467575,29.627499961853026,0.2454645708679305,2025-09-04,14927415296.0,9.0,10.0,1.82,1.8,0.8041419341633403,1
5508.TWO,5508,永信建,2025-09-05,89.19999694824219,88.19447314295888,61.80561516016246,26.388857982796424,9.930530864800634,74.33000030517579,0.20005376808845465,2025-09-03,19394576384.0,2.0,1.0,1.96,1.98,0.7763686631976747,1
8039.TW,8039,台虹,2025-09-05,63.70000076293945,83.20313797143207,66.35357897228239,16.84955899914968,5.31391470785464,52.10750026702881,0.22247278101048792,2025-09-04,16355994624.0,12.0,7.0,1.76,1.8599999999999999,0.7282868959159332,1
4303.TWO,4303,信立,2025-09-05,81.9000015258789,86.87422618826774,60.396452859018005,26.477773329249736,3.574021047364796,69.08500022888184,0.18549614611768644,2025-09-03,7748198912.0,1.0,15.0,1.98,1.7,0.6243800278321326,1
3257.TW,3257,虹冠電,2025-09-05,73.5,89.82258282457174,78.79348741473935,11.029095409832394,9.282276929847525,62.00499973297119,0.18538828024405804,2025-09-03,5847997952.0,26.0,2.0,1.48,1.96,0.5377743233319635,1
3707.TWO,3707,漢磊,2025-09-05,52.5,85.73503852588794,72.23474636314366,13.500292162744287,8.85943255249643,44.9125,0.16893960478708597,2025-09-03,20119207936.0,20.0,3.0,1.6,1.94,0.5243885332591148,1
6291.TWO,6291,沛亨,2025-09-05,187.5,90.5126026621354,81.15992479310238,9.352677869033016,1.9121666958996155,150.925,0.24233891005466282,2025-09-03,9749999616.0,29.0,33.0,1.42,1.3399999999999999,0.46112247805201234,1
1295.TWO,1295,生合,2025-09-05,156.0,91.63407214254671,80.28825746339871,11.345814679148006,1.8172089236379783,127.3,0.22545168892380207,2025-09-03,5378100224.0,23.0,34.0,1.54,1.3199999999999998,0.4582981932443048,1
