ysym,code,name,date,close,K,D,k_d_spread,vol_ratio,ma20,trend_strength,cross_day,market_cap,rank_k,rank_v,a,b,score,streak_days
3305.TW,3305,昇貿,2025-08-14,92.69999694824219,85.41664845413344,70.13886294982642,15.277785504307019,4.994517413963963,74.84999980926514,0.23847691629208959,2025-08-12,11967569920.0,7.0,4.0,1.8599999999999999,1.92,0.8516487634623102,1
2338.TW,2338,光罩,2025-08-14,39.599998474121094,92.1985873165833,72.65835516357085,19.540232153012454,2.8989213270261875,32.9,0.20364737003407585,2025-08-12,10970506240.0,5.0,9.0,1.9,1.82,0.7042126055778343,1
5340.TWO,5340,建榮,2025-08-14,57.400001525878906,88.89796339739682,68.58594654943376,20.312016847963065,2.696298820728077,48.48750019073486,0.18381028718917272,2025-08-12,11186916352.0,4.0,10.0,1.92,1.8,0.6352483525257809,2
1409.TW,1409,新纖,2025-08-14,14.649999618530273,71.02566359779432,48.46156981175138,22.56409378604294,20.706359284774358,12.827499961853027,0.1420775413835178,2025-08-13,23641145344.0,3.0,1.0,1.94,1.98,0.5457482519623685,1
3163.TWO,3163,波若威,2025-08-14,201.0,88.8888888888889,62.44064577397912,26.44824311490978,6.114816227097739,176.85,0.13655640373197628,2025-08-12,16188740608.0,1.0,3.0,1.98,1.94,0.5245404580152673,1
3363.TWO,3363,上詮,2025-08-14,333.0,77.73125996810207,52.70467836257311,25.026581605528953,3.056506264983311,295.425,0.12718964204112715,2025-08-12,34512453632.0,2.0,8.0,1.96,1.84,0.458696725057121,1
3707.TWO,3707,漢磊,2025-08-14,43.349998474121094,89.13850390075258,74.64638628131492,14.492117619437664,3.6134077525244703,38.38749942779541,0.12927382924902014,2025-08-12,16612716544.0,9.0,6.0,1.82,1.88,0.44232333415844727,1
2367.TW,2367,燿華,2025-08-14,30.649999618530273,78.26797016927038,77.67873652004663,0.5892336492237575,4.177153624130815,27.452499771118163,0.11647390489284663,2025-08-14,21646653440.0,18.0,5.0,1.6400000000000001,1.9,0.36293268764611014,1
1608.TW,1608,華榮,2025-08-14,30.100000381469727,82.36112049332522,72.85494577001792,9.506174723307296,7.1762713082762355,27.24749975204468,0.10468852758539776,2025-08-12,12768720896.0,13.0,2.0,1.74,1.96,0.35702975447724056,1
2371.TW,2371,大同,2025-08-14,41.0,86.74337665397324,76.93476248633904,9.808614167634204,2.5942343845599187,37.09000015258789,0.10541924592414152,2025-08-12,79697846272.0,12.0,11.0,1.76,1.78,0.3302574136311506,3
4743.TWO,4743,合一,2025-08-14,71.0,46.20689304395655,34.63600714087943,11.57088590307712,2.1719601444645047,65.46999950408936,0.08446617592482537,2025-08-13,33968033792.0,11.0,15.0,1.78,1.7,0.2555946483485216,2
6290.TWO,6290,良維,2025-08-14,113.5,72.36300916310022,64.06747010161196,8.295539061488256,2.470085782455861,105.1150001525879,0.07976977439223899,2025-08-14,18061369344.0,14.0,13.0,1.72,1.74,0.23873498080109284,1
1605.TW,1605,華新,2025-08-14,23.0,51.40513955123229,38.77178178391808,12.633357767314209,2.4851201668922456,21.4875,0.0703897614892379,2025-08-14,101920587776.0,10.0,12.0,1.8,1.76,0.22299476439790566,1
2355.TW,2355,敬鵬,2025-08-14,35.849998474121094,55.10511403201292,40.013609959980684,15.091504072032237,1.913896837609886,33.68000049591065,0.06442986776303411,2025-08-12,14250194944.0,8.0,16.0,1.84,1.68,0.19916560722909105,1
2855.TW,2855,統一證,2025-08-14,20.799999237060547,92.36182825091055,89.73951448786302,2.6223137630475293,2.3905085499201144,19.482499885559083,0.0676247585905558,2025-08-13,33309327360.0,15.0,14.0,1.7,1.72,0.19773479411878517,1
6285.TW,6285,啟碁,2025-08-14,125.0,58.33333333333334,41.66666666666668,16.666666666666664,1.7890689671904723,119.275,0.047998323202682824,2025-08-12,60519374848.0,6.0,17.0,1.88,1.66,0.14979316705093254,1
1612.TW,1612,宏泰,2025-08-14,38.150001525878906,62.146919686634554,60.969490105567125,1.177429581067429,3.4139139833769256,36.63750019073486,0.04128287484871951,2025-08-14,12058452992.0,17.0,7.0,1.66,1.8599999999999999,0.12746500438290634,1
2845.TW,2845,遠東銀,2025-08-14,13.949999809265137,78.41878967696225,77.06556074959924,1.3532289273630056,1.7858225488177615,13.655000019073487,0.02160379273376712,2025-08-13,59641827328.0,16.0,18.0,1.68,1.6400000000000001,0.05952276974007518,1
