date,code,name,close,K,D,kd_spread,vol_ratio,ma20,trend_c,cross_day,market_cap,rank_a,a,rank_b,b,c,score
2025-08-13,2630,亞航,60.099998474121094,96.94444338480632,93.1581525452034,3.786290839602927,4.356998177993386,41.920000076293945,0.43368316709779936,2025-08-11,12587223040.0,17,0.76,3,1.04,0.43368316709779936,0.3427831752741006
2025-08-13,1802,台玻,29.850000381469727,95.23810605073216,85.11165896016723,10.126447090564923,2.5111965519204356,21.695000076293944,0.37589307566247604,2025-08-11,86805585920.0,8,0.9400000000000001,9,0.9200000000000002,0.37589307566247604,0.32507233183290934
2025-08-13,3694,海華,81.0999984741211,97.60590141444489,93.75126618432989,3.8546352301149938,4.179536100764097,62.175,0.30438276596897623,2025-08-11,12568797184.0,16,0.78,4,1.02,0.30438276596897623,0.2421669286049175
2025-08-13,5340,建榮,57.29999923706055,73.25429388053988,44.07699326377139,29.177300616768484,4.790056462495009,47.94250011444092,0.1951817093452126,2025-08-12,11167426560.0,1,1.08,2,1.06,0.1951817093452126,0.22344402085839937
2025-08-13,2316,楠梓電,90.19999694824219,82.89193328484754,64.12122650007808,18.77070678476946,2.2370414660498468,73.625,0.22512729301517403,2025-08-11,16365436928.0,2,1.06,12,0.8600000000000001,0.22512729301517403,0.2052260403126327
2025-08-13,3019,亞光,168.5,79.7979797979798,70.87542087542087,8.922558922558935,5.819360822591859,140.125,0.2024977698483497,2025-08-12,47052615680.0,10,0.9000000000000001,1,1.08,0.2024977698483497,0.19682783229259593
2025-08-13,1303,南亞,42.599998474121094,77.51312777726388,64.28305526200062,13.23007251526326,1.771224013754804,35.2375,0.20893929688885696,2025-08-12,337852923904.0,4,1.02,16,0.78,0.20893929688885696,0.1662321046047746
2025-08-13,1717,長興,31.899999618530273,90.40404974520511,86.15482295669163,4.249226788513482,4.130264423205585,27.44000005722046,0.1625364268225002,2025-08-11,37394776064.0,15,0.8,5,1.0,0.1625364268225002,0.13002914145800015
2025-08-13,8234,新漢,114.5,75.21367521367522,68.49993640332687,6.713738810348346,1.8994838089881245,97.09499969482422,0.1792574319983604,2025-08-13,16170377216.0,12,0.8600000000000001,15,0.8,0.1792574319983604,0.12332911321487197
2025-08-13,8996,高力,342.0,89.64940452294928,83.3139445170994,6.335460005849882,2.034929287226826,294.675,0.1606006617459913,2025-08-11,31112218624.0,13,0.8400000000000001,14,0.8200000000000001,0.1606006617459913,0.11062173581063882
2025-08-13,2313,華通,71.0999984741211,88.64462025618586,79.15101748638843,9.493602769797434,4.071542163552304,64.75499973297119,0.09798469256913975,2025-08-11,84738400256.0,9,0.9200000000000002,6,0.9800000000000001,0.09798469256913975,0.08834299882033642
2025-08-13,3030,德律,176.5,93.38856400259908,91.15293611882305,2.235627883776033,1.6238323429306079,153.6,0.1490885416666667,2025-08-11,41692123136.0,19,0.7200000000000001,20,0.7000000000000001,0.1490885416666667,0.07514062500000004
2025-08-13,3059,華晶科,44.599998474121094,71.6550249888507,60.65558172764702,10.99944326120368,2.4550892823346957,41.13749961853027,0.08416891857061605,2025-08-12,13541005312.0,7,0.9600000000000001,10,0.9000000000000001,0.08416891857061605,0.07272194564501229
2025-08-13,2371,大同,39.70000076293945,76.99979502521909,68.52215676949034,8.477638255728749,2.1192500773943626,36.900000190734865,0.0758807739222623,2025-08-12,77170843648.0,11,0.8800000000000001,13,0.8400000000000001,0.0758807739222623,0.05609106808333631
2025-08-13,6213,聯茂,100.5,60.54054054054054,41.92192008903434,18.618620451506203,2.409639010517926,95.05999946594238,0.057227020456765657,2025-08-11,36477177856.0,3,1.04,11,0.8800000000000001,0.057227020456765657,0.05237416912203194
2025-08-13,2344,華邦電,18.100000381469727,73.00226466068897,61.17486671563597,11.827397945052994,1.6703727065944587,17.507500076293944,0.033842656152722715,2025-08-11,81450000384.0,6,0.9800000000000001,19,0.7200000000000001,0.033842656152722715,0.02387937818136115
2025-08-13,2498,宏達電,42.650001525878906,62.42974396506144,61.40493381268565,1.0248101523757924,2.904303724080079,41.21749992370606,0.03475469411838227,2025-08-12,35246047232.0,20,0.7000000000000001,8,0.9400000000000001,0.03475469411838227,0.02286858872989554
2025-08-13,2812,台中銀,21.700000762939453,68.4849779855852,67.78201169338435,0.7029662922008555,3.098707149961443,21.040731143951415,0.03133301853807292,2025-08-13,119757094912.0,21,0.6800000000000002,7,0.9600000000000001,0.03133301853807292,0.020454194501654005
2025-08-13,4743,合一,67.4000015258789,31.494245858028027,28.73562049134938,2.758625366678647,1.6733175709099057,64.97999954223633,0.0372422591672935,2025-08-13,32234928128.0,18,0.7400000000000001,18,0.7400000000000001,0.0372422591672935,0.02039386112000993
2025-08-13,2329,華泰,40.25,73.75957504636706,67.74535662201376,6.014218424353302,1.5702037540662752,39.132500076293944,0.028556824162201327,2025-08-11,22549176320.0,14,0.8200000000000001,21,0.6800000000000002,0.028556824162201327,0.015923285152843466
2025-08-13,2002,中鋼,19.649999618530273,65.21741293779885,52.30920155042392,12.908211387374934,1.7031172560396892,19.355000019073486,0.015241518944256172,2025-08-11,301169639424.0,5,1.0,17,0.76,0.015241518944256172,0.011583554397634692
