ysym,code,name,date,close,K,D,k_d_spread,vol_ratio,ma20,trend_strength,cross_day,market_cap,rank_k,rank_v,a,b,score,streak_days
2645.TW,2645,長榮航太,2025-08-18,183.0,87.84511784511783,83.78778701342189,4.057330831695936,1.6724389298799247,136.575,0.3399231191652939,2025-08-18,68546494464.0,17.0,21.0,1.66,1.58,0.8915503569467327,1
5309.TWO,5309,系統電,2025-08-18,56.599998474121094,66.36423058396552,61.11614186508367,5.248088718881853,2.2528906361384955,44.84499969482422,0.2621250721215542,2025-08-18,10740245504.0,13.0,13.0,1.74,1.74,0.7936098683552176,1
3030.TW,3030,德律,2025-08-18,204.0,93.9222189806383,92.21546657172631,1.7067524089119956,2.8350545694643583,159.925,0.2755979365327496,2025-08-18,48188063744.0,24.0,7.0,1.52,1.8599999999999999,0.7791704861653896,1
4958.TW,4958,臻鼎-KY,2025-08-18,170.0,91.5701266604881,91.17804273615445,0.39208392433364736,2.2441594200318282,131.175,0.2959786544692204,2025-08-15,162275033088.0,26.0,15.0,1.48,1.7,0.7446822946445585,1
3211.TWO,3211,順達,2025-08-18,306.0,88.29754123871771,79.61566392938941,8.6818773093283,1.580139740013258,243.95,0.2543554006968642,2025-08-15,46691315712.0,8.0,24.0,1.84,1.52,0.7113811846689898,1
2498.TW,2498,宏達電,2025-08-18,51.599998474121094,79.81652125322704,63.791521212519065,16.025000040707972,1.7144951516809974,41.97999992370605,0.22915670719147951,2025-08-15,42642341888.0,3.0,20.0,1.94,1.6,0.7113024191223525,1
2367.TW,2367,燿華,2025-08-18,33.25,96.08078526876257,86.3187016672545,9.762083601508067,2.8136290619851674,28.169999885559083,0.18033369311602665,2025-08-14,23482912768.0,6.0,8.0,1.88,1.84,0.6238103112269594,1
1711.TW,1711,永光,2025-08-18,19.700000762939453,78.01135182742469,67.78901955900032,10.222332268424367,4.944811352333879,16.887500095367432,0.1665433398483618,2025-08-18,10790714368.0,5.0,3.0,1.9,1.94,0.6138787506810616,1
6188.TWO,6188,廣明,2025-08-18,110.0,72.07879152992204,67.99300301650176,4.085788513420283,5.201747343401047,93.30999984741212,0.17886614703548057,2025-08-18,30619490304.0,15.0,2.0,1.7,1.96,0.5959820019222212,1
1303.TW,1303,南亞,2025-08-18,46.25,81.58687029698099,78.53986899422893,3.047001302752065,1.6486642392081858,37.46500005722046,0.23448551793306216,2025-08-18,366800437248.0,21.0,23.0,1.58,1.54,0.5705501622347269,1
2464.TW,2464,盟立,2025-08-18,70.0,91.13551251868319,87.05649414600231,4.079018372680878,2.2810817201386353,60.29999961853027,0.16086236223605058,2025-08-18,14317170688.0,16.0,12.0,1.68,1.76,0.47563783265955434,1
6125.TWO,6125,廣運,2025-08-18,86.9000015258789,78.92078171047085,73.55553092691517,5.36525078355568,2.909239835886642,76.25,0.13967215115906761,2025-08-15,22508056576.0,12.0,6.0,1.76,1.88,0.4621472137551229,1
5351.TWO,5351,鈺創,2025-08-18,31.899999618530273,79.11870341785642,73.18142041202576,5.937283005830665,4.505825759533994,28.217500114440917,0.1305041016799627,2025-08-15,10386511872.0,11.0,4.0,1.78,1.92,0.44601081790144054,1
1504.TW,1504,東元,2025-08-18,58.5,54.518355497300654,50.27386940453314,4.2444860927675165,3.119088189439933,51.62250022888183,0.13322678561915785,2025-08-18,123100381184.0,14.0,5.0,1.72,1.9,0.43538513540340784,1
2312.TW,2312,金寶,2025-08-18,20.299999237060547,69.64470534611793,41.39672521825964,28.24798012785829,8.228923955559658,18.392499923706055,0.10371071476237552,2025-08-15,30551293952.0,1.0,1.0,1.98,1.98,0.406587486154417,1
2313.TW,2313,華通,2025-08-18,76.0,89.34240833566021,88.11795814260266,1.2244501930575495,1.5028191619819193,66.90999946594238,0.13585414148276137,2025-08-18,90578321408.0,25.0,26.0,1.5,1.48,0.3015961940917302,1
2634.TW,2634,漢翔,2025-08-18,50.0,65.6616976741868,63.63608318644787,2.0256144877389275,2.0490899017844795,45.14749965667725,0.10748104280909108,2025-08-18,47093350400.0,23.0,16.0,1.54,1.68,0.2780749539556805,1
3189.TW,3189,景碩,2025-08-18,111.5,54.106280193236735,45.30167899733118,8.804601195905555,2.7704799999431917,102.975,0.08278708424374855,2025-08-18,50907668480.0,7.0,10.0,1.8599999999999999,1.8,0.27717115804807013,1
1605.TW,1605,華新,2025-08-18,23.649999618530273,80.57533156733214,66.5764627254048,13.998868841927347,1.8899480143540703,21.782500076293946,0.08573393943281749,2025-08-14,104800944128.0,4.0,18.0,1.92,1.6400000000000001,0.2699590284860557,1
2328.TW,2328,廣宇,2025-08-18,47.25,84.51176089939779,68.08358884229906,16.42817205709872,1.6585902747454284,43.49000015258789,0.08645665289077656,2025-08-15,24491847680.0,2.0,22.0,1.96,1.56,0.2643498618788384,1
